player,stage,round,survival_time,steps,items,ghost_hits,retries,score,total_score,stage_total_hits,completed,is_stage_clear
nw,1,1,55.88,142,3,0,0,9442,,,True,False
nw,1,2,22.01,128,3,0,0,9222,,,True,False
nw,1,3,35.51,119,2,1,0,9222,,,False,False
nw,1,3,10.3,68,3,2,0,9222,,,False,False
nw,1,3,11.7,72,3,3,0,9222,,,False,False
nw,1,3,22.83,114,3,3,0,8993,,,True,False
nw,1,3,100.72,384,3,3,0,8993,8993,3,True,True
nw,1,1,22.67,102,3,0,0,9774,,,True,False
nw,1,2,16.04,106,3,0,0,9613,,,True,False
nw,1,3,23.6,84,3,1,0,9613,,,False,False
nw,2,1,9.06,60,3,0,0,9910,,,True,False
nw,2,2,4.33,22,1,1,0,9910,,,False,False
nw,2,2,15.8,70,3,1,0,9752,,,True,False
nw,2,3,8.38,62,3,1,0,9668,,,True,False
nw,2,3,33.24,192,3,1,0,9668,9668,1,True,True
e,1,1,12.14,100,3,0,0,9879,,,True,False
e,1,2,15.44,104,3,0,0,9725,,,True,False
e,1,3,16.72,112,3,0,0,9558,,,True,False
e,1,3,44.3,316,3,0,0,9558,9558,0,True,True
e,2,1,7.97,60,3,0,0,9921,,,True,False
e,2,2,14.24,76,3,0,0,9778,,,True,False
e,2,3,14.61,66,3,0,0,9632,,,True,False
e,2,3,36.82,202,3,0,0,9632,9632,0,True,True
nw,3,1,15.14,87,4,0,0,9849,,,True,False
nw,3,2,4.05,8,0,1,0,9849,,,False,False
nw,3,2,4.04,6,0,2,0,9849,,,False,False
nw,3,2,3.7,6,0,3,0,9849,,,False,False
nw,3,2,3.94,6,0,4,0,9849,,,False,False
nw,1,1,22.4,100,3,0,0,9777,,,True,False
nw,1,2,15.86,104,3,0,0,9618,,,True,False
nw,1,3,9.38,64,2,1,0,9618,,,False,False
nw,1,3,10.51,66,3,2,0,9618,,,False,False
nw,1,3,10.26,68,3,3,0,9618,,,False,False
nw,1,3,16.51,104,3,3,0,9453,,,True,False
nw,1,3,54.77,308,3,3,0,9453,9453,3,True,True
nw,1,1,12.37,100,3,0,0,9877,,,True,False
nw,1,2,15.14,102,3,0,0,9725,,,True,False
nw,1,3,15.9,108,3,0,0,9566,,,True,False
nw,1,3,43.41,310,3,0,0,9566,9566,0,True,True
ว้าว,1,1,12.54,100,3,0,0,9875,,,True,False
ว้าว,1,2,15.33,102,3,0,0,9722,,,True,False
ว้าว,1,3,15.55,104,3,0,0,9566,,,True,False
ว้าว,1,3,43.42,306,3,0,0,9566,9566,0,True,True
ว้าว,2,1,10.38,60,3,0,0,9897,,,True,False
ว้าว,2,2,13.71,72,3,0,0,9760,,,True,False
ว้าว,2,3,12.89,72,3,0,0,9631,,,True,False
ว้าว,2,3,36.97,204,3,0,0,9631,9631,0,True,True
ว้าว,3,1,12.4,85,4,0,0,9876,,,True,False
ว้าว,3,2,16.31,89,4,0,0,9713,,,True,False
ว้าว,3,3,17.62,91,4,0,0,9537,,,True,False
ว้าว,3,3,46.33,265,4,0,0,9537,9537,0,True,True
ว้าว,4,1,10.62,68,5,0,0,9894,,,True,False
ว้าว,4,2,9.76,51,4,1,0,9894,,,False,False
ว้าว,4,2,18.65,92,5,1,0,9708,,,True,False
ว้าว,4,3,19.97,86,5,1,0,9508,,,True,False
ว้าว,4,3,49.24,246,5,1,0,9508,9508,1,True,True
ว้าว,5,1,18.34,122,7,0,0,9817,,,True,False
ว้าว,5,2,25.9,128,7,0,0,9558,,,True,False
ว้าว,5,3,25.58,130,7,0,0,9302,,,True,False
ว้าว,5,3,69.82,380,7,0,0,9302,9302,0,True,True
สมชาย,1,1,12.13,100,3,0,0,9879,,,True,False
สมชาย,1,2,15.8,104,3,0,0,9721,,,True,False
สมชาย,1,3,10.8,68,3,1,0,9721,,,False,False
สมชาย,1,3,5.07,20,1,2,0,9721,,,False,False
ว้าว,1,1,12.37,100,3,0,0,9877,,,True,False
ว้าว,1,2,15.54,100,3,0,0,9721,,,True,False
ว้าว,1,3,15.2,102,3,0,0,9569,,,True,False
ว้าว,1,3,43.12,302,3,0,0,9569,9569,0,True,True
สมนึก,1,1,12.83,100,3,0,0,9872,,,True,False
สมนึก,1,2,4.07,10,0,1,0,9872,,,False,False
winner,1,1,13.12,100,3,0,0,9869,,,True,False
winner,1,2,14.91,104,3,0,0,9720,,,True,False
winner,1,3,19.29,93,3,1,0,9720,,,False,False
winner,1,3,15.93,108,3,1,0,9561,,,True,False
winner,1,3,43.96,312,3,1,0,9561,9561,1,True,True
new,1,1,15.13,98,3,0,0,9849,,,True,False
new,1,2,15.11,106,3,0,0,9698,,,True,False
new,1,3,15.91,106,3,0,0,9539,,,True,False
new,1,3,46.15,310,3,0,0,9539,9539,0,True,True
new,1,1,15.03,112,3,0,0,9850,,,True,False
new,1,2,7.06,36,1,1,0,9850,,,False,False
new,1,1,15.76,118,3,0,0,9843,,,True,False
new,1,2,6.83,44,1,1,0,9843,,,False,False
